n,x,y,luma
0,0.693,2.012,130.6
1,0.687,2.012,132.0
2,0.680,2.012,132.1
3,0.673,2.012,132.0
4,0.666,2.012,131.8
5,0.660,2.012,132.1
6,0.653,2.012,133.2
7,0.646,2.012,136.3
8,0.640,2.012,140.0
9,0.633,2.012,140.5
10,0.626,2.012,140.8
11,0.619,2.012,141.6
12,0.613,2.012,141.8
13,0.606,2.012,142.9
14,0.599,2.012,142.9
15,0.593,2.012,142.7
16,0.586,2.012,142.2
17,0.579,2.012,141.3
18,0.572,2.012,140.1
19,0.566,2.012,139.3
20,0.559,2.012,138.8
21,0.552,2.012,138.0
22,0.546,2.012,138.4
23,0.539,2.012,141.6
24,0.532,2.012,141.5
25,0.525,2.012,141.1
26,0.519,2.012,140.9
27,0.512,2.012,141.5
28,0.505,2.012,143.2
29,0.499,2.012,144.9
30,0.492,2.012,147.5
31,0.485,2.012,148.3
32,0.479,2.012,146.5
33,0.472,2.012,147.4
34,0.465,2.012,148.6
35,0.458,2.012,150.2
36,0.452,2.012,151.5
37,0.445,2.012,152.8
38,0.438,2.012,153.5
39,0.432,2.012,153.6
40,0.425,2.012,153.1
41,0.418,2.012,153.0
42,0.411,2.012,153.8
43,0.405,2.012,154.2
44,0.398,2.012,153.9
45,0.391,2.012,154.5
46,0.385,2.012,154.6
47,0.378,2.012,155.1
48,0.371,2.012,155.3
49,0.364,2.012,155.7
50,0.358,2.012,156.4
51,0.351,2.012,157.9
52,0.344,2.012,159.0
53,0.338,2.012,159.6
54,0.331,2.012,159.0
55,0.324,2.012,159.0
56,0.317,2.012,158.5
57,0.311,2.012,158.7
58,0.304,2.012,160.1
59,0.297,2.012,161.4
60,0.291,2.012,162.7
61,0.284,2.012,162.2
62,0.277,2.012,162.2
63,0.270,2.012,161.7
64,0.264,2.012,161.3
65,0.257,2.012,161.8
66,0.250,2.012,160.1
67,0.244,2.012,159.1
68,0.237,2.012,159.5
69,0.230,2.012,161.5
70,0.223,2.012,161.3
71,0.217,2.012,159.8
72,0.210,2.012,160.7
73,0.203,2.012,162.1
74,0.197,2.012,162.7
75,0.190,2.012,163.3
76,0.183,2.012,163.8
77,0.176,2.012,164.3
78,0.170,2.012,164.3
79,0.163,2.012,164.4
80,0.156,2.012,165.6
81,0.150,2.012,165.7
82,0.143,2.012,165.7
83,0.136,2.012,166.1
84,0.130,2.012,166.7
85,0.123,2.012,166.7
86,0.116,2.012,166.8
87,0.109,2.012,167.5
88,0.103,2.012,168.1
89,9.596E-2,2.012,169.4
90,8.925E-2,2.012,170.8
91,8.254E-2,2.012,171.7
92,7.583E-2,2.012,172.0
93,6.912E-2,2.012,172.0
94,6.241E-2,2.012,171.6
95,5.569E-2,2.012,171.0
96,4.898E-2,2.012,171.1
97,4.227E-2,2.012,171.8
98,3.556E-2,2.012,171.1
99,2.885E-2,2.012,172.6
100,2.214E-2,2.012,172.8
101,1.543E-2,2.012,171.7
102,8.714E-3,2.012,170.8
103,2.003E-3,2.012,170.7
104,-4.709E-3,2.012,170.8
105,-1.142E-2,2.012,171.1
106,-1.813E-2,2.012,170.8
107,-2.484E-2,2.012,170.2
108,-3.155E-2,2.012,169.4
109,-3.827E-2,2.012,168.0
110,-4.498E-2,2.012,168.1
111,-5.169E-2,2.012,167.3
112,-5.840E-2,2.012,167.0
113,-6.511E-2,2.012,167.0
114,-7.182E-2,2.012,167.0
115,-7.853E-2,2.012,167.0
116,-8.525E-2,2.012,167.0
117,-9.196E-2,2.012,166.7
118,-9.867E-2,2.012,164.6
119,-0.105,2.012,163.3
120,-0.112,2.012,165.3
121,-0.119,2.012,165.9
122,-0.126,2.012,166.0
123,-0.132,2.012,162.7
124,-0.139,2.012,158.8
125,-0.146,2.012,158.9
126,-0.152,2.012,160.2
127,-0.159,2.012,161.5
128,-0.166,2.012,158.7
129,-0.172,2.012,158.7
130,-0.179,2.012,158.7
131,-0.186,2.012,158.2
132,-0.193,2.012,157.7
133,-0.199,2.012,157.2
134,-0.206,2.012,157.5
135,-0.213,2.012,158.3
136,-0.219,2.012,158.8
137,-0.226,2.012,158.2
138,-0.233,2.012,158.1
139,-0.240,2.012,158.3
140,-0.246,2.012,157.8
141,-0.253,2.012,157.7
142,-0.260,2.012,157.4
143,-0.266,2.012,156.8
144,-0.273,2.012,156.4
145,-0.280,2.012,156.1
146,-0.287,2.012,156.1
147,-0.293,2.012,158.7
148,-0.300,2.012,158.0
149,-0.307,2.012,156.0
150,-0.313,2.012,154.7
151,-0.320,2.012,154.5
152,-0.327,2.012,155.5
153,-0.334,2.012,154.4
154,-0.340,2.012,154.1
155,-0.347,2.012,153.9
156,-0.354,2.012,152.4
157,-0.360,2.012,148.9
158,-0.367,2.012,149.7
159,-0.374,2.012,149.9
160,-0.381,2.012,148.9
161,-0.387,2.012,147.2
162,-0.394,2.012,145.7
163,-0.401,2.012,144.2
164,-0.407,2.012,144.1
165,-0.414,2.012,143.6
166,-0.421,2.012,142.2
167,-0.428,2.012,139.5
168,-0.434,2.012,138.1
169,-0.441,2.012,137.3
170,-0.448,2.012,137.3
171,-0.454,2.012,137.1
172,-0.461,2.012,137.0
173,-0.468,2.012,137.4
174,-0.475,2.012,138.2
175,-0.481,2.012,139.0
176,-0.488,2.012,138.2
177,-0.495,2.012,137.7
178,-0.501,2.012,137.0
179,-0.508,2.012,136.0
180,-0.515,2.012,135.1
181,-0.521,2.012,135.1
182,-0.528,2.012,136.2
183,-0.535,2.012,135.9
184,-0.542,2.012,136.1
185,-0.548,2.012,135.5
186,-0.555,2.012,134.2
187,-0.562,2.012,133.8
188,-0.568,2.012,134.6
189,-0.575,2.012,133.9
190,-0.582,2.012,134.0
191,-0.589,2.012,133.4
192,-0.595,2.012,132.7
193,-0.602,2.012,132.1
194,-0.609,2.012,130.6
195,-0.615,2.012,132.5
196,-0.622,2.012,130.9
197,-0.629,2.012,130.3
198,-0.636,2.012,129.8
199,-0.642,2.012,129.5
200,-0.649,2.012,129.1
201,-0.656,2.012,129.0
